,name,restauran_type,rating,reviews,price
0,endive Publik house,American restaurant,4.9,199.0,$$
1,MattChews,Restaurant,4.9,72.0,$$
2,Ferst Place,Restaurant,4.6,11.0,
3,Babette's Cafe,Restaurant,4.8,383.0,$$$
4,Gio’s Chicken Amalfitano,Italian restaurant,4.5,848.0,$$
5,Aziza,Middle Eastern restaurant,4.6,144.0,
6,Fritti,Italian restaurant,4.5,806.0,$$
7,Local Green Atlanta,Restaurant,4.6,389.0,$$
8,Wisteria,Southern restaurant (US),4.5,462.0,$$$
9,Eats,Restaurant,4.5,1689.0,$
10,Antico,Pizza restaurant,4.6,4457.0,$$
11,South City Kitchen Midtown,Restaurant,4.6,2668.0,$$
13,The Varsity,Fast food restaurant,4.1,18063.0,$
14,Cooks & Soldiers,Spanish restaurant,4.7,966.0,$$$
15,Campagnolo Restaurant + Bar,Italian restaurant,4.4,475.0,$$
16,The Consulate,Fine dining restaurant,4.6,742.0,$$
17,Folk Art Restaurant,American restaurant,4.5,2184.0,$$
18,Ecco Midtown,European restaurant,4.6,1024.0,$$$
19,Atkins Park Restaurant & Bar,American restaurant,4.5,621.0,$$
20,Food Terminal,Asian fusion restaurant,4.6,386.0,$$
21,Der Biergarten,German restaurant,4.4,1949.0,$$
22,Baffi Atlanta,Italian restaurant,4.5,33.0,
23,Glenn's Kitchen,American restaurant,4.4,199.0,
24,Empire State South,American restaurant,4.4,795.0,$$$
26,Murphy's Restaurant,American restaurant,4.6,1911.0,$$
27,gusto! West Midtown,Restaurant,4.5,227.0,$$
28,Flower Child (Westside Provisions),American restaurant,4.7,50.0,$$
29,Atmosphere Restaurant,French restaurant,4.6,330.0,$$
30,Proscenium Cafe & Market,Restaurant,4.6,18.0,$
31,Poor Calvin's,Asian restaurant,4.6,2490.0,$$
32,Atlanta Breakfast Club,Breakfast restaurant,4.6,5283.0,$
33,Max's Coal Oven Pizzeria,Pizza restaurant,4.4,1669.0,$$
34,Joy Cafe,Restaurant,4.4,891.0,$$
35,R. Thomas Deluxe Grill,Family restaurant,4.4,2435.0,$$
36,West Egg Cafe,American restaurant,4.4,2108.0,$$
37,There on Fifth,Restaurant,4.5,54.0,$$
38,Barcelona Wine Bar,Spanish restaurant,4.5,1917.0,$$
39,Kwan's Deli and Korean Kitchen,Korean restaurant,4.4,623.0,$
40,Atwoods,Pizza restaurant,4.5,754.0,$$
41,Sotto Sotto Restaurant,Italian restaurant,4.5,735.0,$$$
43,gusto! Ponce,Fast food restaurant,4.6,924.0,$
44,Slice Downtown,Pizza restaurant,4.5,512.0,$
45,Mary Mac's Tea Room,Southern restaurant (US),4.4,9999.0,$$
46,The Melting Pot,Fondue restaurant,4.4,1018.0,$$$
47,Miller Union,American restaurant,4.5,950.0,$$$
48,Souper Jenny Westside,Soup restaurant,4.8,310.0,$$
49,Eight Sushi Lounge,Sushi restaurant,4.7,1199.0,$$
50,Egg Harbor Cafe,Brunch restaurant,4.6,1153.0,$$
51,Osteria 832 Pasta & Pizza,Italian restaurant,4.3,381.0,$$
52,Cafe Agora,Middle Eastern restaurant,4.6,621.0,$
53,Fox Bros. Bar-B-Q,Barbecue restaurant,4.6,7182.0,$$
55,Silver Skillet,Southern restaurant (US),4.5,1753.0,$
56,Negril ATL,Caribbean restaurant,4.1,2524.0,$$
57,Pasta Da Pulcinella,Italian restaurant,4.5,870.0,$$
58,"The Sun Dial Restaurant, Bar & View",Restaurant,4.3,3344.0,$$$
59,bartaco,Taco restaurant,4.4,2096.0,$$
60,Nan Thai Fine Dining,Thai restaurant,4.6,1125.0,$$$
61,Café Intermezzo - Midtown,European restaurant,4.5,3616.0,$$
62,Twelve Eighty,Eclectic restaurant,4.3,177.0,$$$
64,Tuza Taco,Mexican restaurant,4.7,406.0,
65,Soul Good Fine Food,Restaurant,4.5,268.0,
66,Twisted Kitchen - Midtown,Fast food restaurant,4.3,334.0,$
67,Ray's New York Pizza,Pizza restaurant,4.2,527.0,$$
68,Morton's The Steakhouse,Restaurant,4.5,780.0,$$$$
69,Chattahoochee Food Works,Restaurant,4.5,267.0,
70,Lazy Betty,Restaurant,4.8,253.0,
71,Wagaya - Westside,Japanese restaurant,4.6,1287.0,$$
73,Social Market & Cafe,Restaurant,4.4,47.0,
74,Taqueria Del Sol,Mexican restaurant,4.4,806.0,$
75,Highland Bakery,Breakfast restaurant,4.4,1618.0,$$
77,Truva - Virginia Highland,Restaurant,4.6,150.0,
78,Bone Garden Cantina,Mexican restaurant,4.5,1903.0,$$
79,Mellow Mushroom Atlanta - Downtown,Pizza restaurant,4.3,1672.0,$$
80,Johnny Rockets,Hamburger restaurant,4.1,720.0,$$
81,Cafe Apple,Breakfast restaurant,4.3,123.0,
83,Mellow Mushroom Atlanta - Buckhead,Pizza restaurant,4.4,926.0,$$
84,Carolyn's Gourmet Cafe and Catering,Restaurant,4.1,98.0,$$
85,Rosa's Pizza,Pizza restaurant,4.6,448.0,$
87,Momonoki,Ramen restaurant,4.3,494.0,$$
88,White Oak Kitchen & Cocktails,American restaurant,4.3,967.0,$$$
89,Park Bar,American restaurant,4.3,1654.0,$$
90,Midtown Plaza Cafe,Restaurant,4.4,20.0,
