id,name
1,Aerial Kitchen & Bar
2,Alluvia
3,Antico Pizza
4,Auto Spa Bistro
5,Aviva by Kameel Midtown
6,Aziza
7,Barcelona Westside Ironworks
8,bartaco
9,Blu Seafood House
10,Bottega Luisa
11,Brittain Dining Hall
12,Brown Bag Seafood
13,Burger King
14,Cafe Adison
15,Cafe West Express
16,Caffe Antico
17,Caffeine Atlanta
18,Caffé Gio
19,Canopy Court
20,Capital Commons
21,Carolyn’s Gourmet Cafe
22,Cheba Hut Toasted Subs
23,Chicago’s Very Own
24,Chick-fil-A
25,Chirori - Yakitori & Kushikatsu
26,Choong Man Chicken - Georgia Tech
27,Circle Poke
28,Club Room
29,Cluck N Mooh
30,Conference Dining Room
31,Cook Out
32,Cooks & Soldiers
33,Crazy Cuban
34,DaVinci’s Pizzeria
35,Domino’s Pizza
36,Dos Amigos
37,DramaTech Concessions
38,E Ramen +
39,Eight Sushi Lounge
40,El Burro Pollo
41,Eleventh Street Pub
42,Falafel Nation
43,Farm Burger - Midtown Atlanta
44,Fava Mezze
45,Firehouse Subs
46,First Restaurant
47,Flower Child - Atlanta
48,Food Terminal - Atlanta
49,Forza Storico
50,Freddie’s Bananas
51,Genji
52,Georgia Cafe
53,Gio’s Chicken Amalfitano
54,Gio’s Sicilian Pizza Shop
55,Goodfellas Pizza & Wings
56,Goodfellas Pizza and Wings
57,Gyro Bros
58,HB Food Anatomy
59,IKEA Restaurant
60,J. Christopher’s
61,JCT Kitchen & Bar
62,Jimmy John’s
63,Jimmy’s
64,King Crab Atl
65,Krystal
66,La Fonda Latina
67,Le Fat
68,Lil Dino Subs
69,Little Italy Atlanta
70,Little Trouble
71,LiveWire Coffee
72,LowCountry Steak
73,Lucky Buddha
74,Maple Street Biscuit Company
75,Marcel
76,Marlow’s Tavern
77,McCray’s Tavern Midtown
78,McDonald’s
79,Michael’s Cafe
80,Midcity Cafe
81,Moe’s Original Bar B Que
82,Moe’s Southwest Grill
83,Momo Cafe
84,Momonoki
85,Mushi Ni
86,Nagomiya
87,North Ave Dining Hall
88,Nova Sushi Bar & Asian Bistro II
89,O-Ku Sushi
90,Oddbird
91,Olive
92,Omakase By Yun
93,Ormsbys
94,Panda Express
95,Panera Bread
96,Papa John’s Pizza
97,Park 27
98,Pho King
99,Pijiu Belly
100,Pita Pit
101,Pizza Hut
102,Poke Burri CODA
103,Poppin Pita Grill
104,Puttshack at The Interlock
105,QDOBA Mexican Eats
106,Quiktrip
107,Ray’s New York Pizza
108,Ray’s Pizza Express
109,Redbird
110,Reverence
111,Rising Roll Gourmet Café - Midtown
112,Rock Steady - Atlanta
113,Rocky Mountain Pizza
114,Rowdy Tiger Whiskey Bar & Kitchen
115,Saint Germain Bakery
116,Sarpino’s Pizzeria
117,Satto Thai & Sushi Bar
118,Sigma Alpha Epsilon
119,Six Feet Under Pub & Fish House- Westside
120,Slim & Husky’s Pizza Beeria
121,"Snooze, an A.M. Eatery"
122,Spice House
123,Spice House Midtown
124,Star of India
125,Steamhouse Lounge
126,Sublime Doughnuts
127,Subway
128,Sweet & Fresh
129,Taco Bell
130,Tannour Mediterranean Grill
131,TastyBus
132,TGM Soup
133,The Collective Food Hall at Coda
134,The Garden Grille and Bar
135,The Halal Guys
