,name,reviews,price,star,restauran_type,rating,advertised_restrant
0,Aerial Kitchen & Bar,,,,"['Bars', 'American (Traditional)']",,yes
1,Alluvia,6,,4,"['Steakhouses', 'Mexican']",4,yes
2,Antico Pizza,3216,,4,['Pizza'],4,yes
3,Auto Spa Bistro,127,,3,"['American (New)', 'Car Wash']",3,yes
4,Aviva by Kameel Midtown,40,,5,"['Mediterranean', 'Middle Eastern']",5,yes
5,Aziza,90,,4.5,['Middle Eastern'],4.5,yes
6,Barcelona Westside Ironworks,505,,4,"['Tapas/Small Plates', 'Wine Bars', 'Spanish']",4,yes
7,Blu Seafood House,69,,2,['Seafood'],2,yes
8,Bottega Luisa,,,,"['Grocery', 'Italian', 'Pizza']",,yes
9,Brittain Dining Hall,,,,['Cafeteria'],,yes
10,Brown Bag Seafood,36,,4.5,"['Seafood', 'Salad', 'Sandwiches']",4.5,yes
11,Burger King,55,,2,"['Fast Food', 'Burgers']",2,yes
12,Cafe Adison,,,,['Cafes'],,yes
13,Cafe West Express,6,,4.5,"['Juice Bars & Smoothies', 'Soup', 'Cafes']",4.5,yes
14,Caffe Antico,78,,3.5,"['Cafes', 'Coffee & Tea', 'Gelato']",3.5,yes
15,Caffeine Atlanta,20,,4,"['Coffee & Tea', 'Hookah Bars', 'Cafes']",4,yes
16,Caffé Gio,89,,2.5,"['Cafes', 'Italian']",2.5,yes
17,Canopy Court,1,,2,"['American (Traditional)', 'Bars']",2,yes
18,Capital Commons,5,,5,"['Coffee & Tea', 'Sandwiches']",5,yes
19,Carolyn’s Gourmet Cafe,51,,3.5,"['Pizza', 'Cafes', 'American (Traditional)']",3.5,yes
20,Cheba Hut Toasted Subs,38,,4.5,"['Sandwiches', 'Salad', 'Bars']",4.5,yes
21,Chicago’s Very Own,,,,"['Southern', 'Breakfast & Brunch']",,yes
22,Chick-fil-A,11,,3.5,['Fast Food'],3.5,yes
23,Chirori - Yakitori & Kushikatsu,37,,4.5,"['Japanese', 'Seafood']",4.5,yes
24,Choong Man Chicken - Georgia Tech,52,,4,"['Chicken Wings', 'Korean']",4,yes
