restaurant_id,restauran_type,rating,reviews,price,source
1,"['Bars', 'American (Traditional)']",,,,yelp
2,"['Steakhouses', 'Mexican']",4.0,6,,yelp
3,['Pizza'],4.0,3216,,yelp
4,"['American (New)', 'Car Wash']",3.0,127,,yelp
5,"['Mediterranean', 'Middle Eastern']",5.0,40,,yelp
6,['Middle Eastern'],4.5,90,,yelp
7,"['Tapas/Small Plates', 'Wine Bars', 'Spanish']",4.0,505,,yelp
8,"['Mexican', 'Tapas Bars']",4.0,1301,$$,yelp
9,['Seafood'],2.0,69,,yelp
10,"['Grocery', 'Italian', 'Pizza']",,,,yelp
11,['Cafeteria'],,,,yelp
12,"['Seafood', 'Salad', 'Sandwiches']",4.5,36,,yelp
13,"['Fast Food', 'Burgers']",2.0,55,,yelp
14,['Cafes'],,,,yelp
15,"['Juice Bars & Smoothies', 'Soup', 'Cafes']",4.5,6,,yelp
16,"['Cafes', 'Coffee & Tea', 'Gelato']",3.5,78,,yelp
17,"['Coffee & Tea', 'Hookah Bars', 'Cafes']",4.0,20,,yelp
18,"['Cafes', 'Italian']",2.5,89,,yelp
19,"['American (Traditional)', 'Bars']",2.0,1,,yelp
20,"['Coffee & Tea', 'Sandwiches']",5.0,5,,yelp
21,"['Pizza', 'Cafes', 'American (Traditional)']",3.5,51,,yelp
22,"['Sandwiches', 'Salad', 'Bars']",4.5,38,,yelp
23,"['Southern', 'Breakfast & Brunch']",,,,yelp
24,['Fast Food'],3.5,11,,yelp
25,"['Japanese', 'Seafood']",4.5,37,,yelp
26,"['Chicken Wings', 'Korean']",4.0,52,,yelp
27,"['Poke', 'Asian Fusion', 'Japanese']",4.5,96,,yelp
28,"['Burgers', 'Pizza', 'Sports Bars']",,,,yelp
29,"['Burgers', 'Chicken Wings']",,,,yelp
30,['Buffets'],,,,yelp
31,"['Fast Food', 'Burgers', 'Hot Dogs']",3.5,184,,yelp
32,"['Spanish', 'Basque', 'French']",4.5,645,,yelp
33,"['Cuban', 'Sandwiches']",4.0,103,,yelp
34,"['Pizza', 'Italian', 'Sandwiches']",3.5,437,,yelp
35,"['Pizza', 'Chicken Wings', 'Sandwiches']",1.0,45,$,yelp
36,"['Tacos', 'Tex-Mex', 'Sports Bars']",3.0,53,,yelp
37,['Restaurants'],5.0,1,,yelp
38,"['Ramen', 'Tapas/Small Plates']",4.5,251,,yelp
39,"['Sushi Bars', 'Lounges', 'Japanese']",4.5,1008,,yelp
40,"['Food Stands', 'Latin American', 'Mexican']",4.5,35,,yelp
