,restrant_name,name,reviewer,price,star,type_Caterers,type_Mexican,type_Tex-Mex,"type_Beer, Wine & Spirits",type_Italian,type_American (New),type_Cocktail Bars,type_Chicken Wings,type_Caribbean,type_Bars,type_Seafood,type_Music Venues,type_Malaysian,type_Pan Asian,type_Chinese,type_Pasta Shops,type_Korean,type_Burgers,type_Pubs,type_Asian Fusion,type_Tacos,type_Vegetarian,type_Vietnamese,type_Noodles,type_Soup,type_Fast Food,type_Indian,type_Sushi Bars,type_Ramen,type_Venues & Event Spaces,type_Sports Bars,type_American (Traditional),type_Tapas Bars,type_Middle Eastern,type_Tapas/Small Plates,type_Wine Bars,type_Spanish,type_Steakhouses,type_Southern,type_Comfort Food,type_Whiskey Bars,type_Basque,type_French,type_Cafes,type_Chicken Shop,type_Pop-Up Restaurants,type_Pizza,type_Lounges,type_Japanese,type_Dive Bars,type_Food Stands,type_Latin American,type_Breakfast & Brunch,type_Gastropubs,type_Salad,type_Mediterranean,type_Halal,type_Lebanese,type_Thai,type_Donuts,type_Sandwiches,type_Desserts,type_Coffee & Tea,type_Sicilian,type_Cuban,type_Poke,type_Juice Bars & Smoothies,type_Bakeries,type_Mini Golf,type_Barbeque,type_Coffee Roasteries,type_Hot Dogs,type_Vegan,type_Bubble Tea,type_Beer Bar,type_Restaurants,type_Food Court,type_Gelato,type_Wraps,type_Diners,type_Hookah Bars,type_Greek,type_Car Wash,type_Delis,type_Scandinavian,type_Cafeteria,type_Grocery,type_Gas Stations,type_Convenience Stores,type_Food Trucks,type_Buffets,score,advertised_restrant
0,Aerial Kitchen & Bar,103. Aerial Kitchen & Bar,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
1,Alluvia,69. Alluvia,5,,4 star rating,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,no
2,Antico Pizza,27. Antico Pizza,3214,,4 star rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,no
3,Auto Spa Bistro,109. Auto Spa Bistro,127,,3 star rating,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3,no
4,Aviva by Kameel Midtown,76. Aviva by Kameel Midtown,40,,5 star rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,no
5,Aziza,15. Aziza,90,,4.5 star rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,no
6,Barcelona Westside Ironworks,16. Barcelona Westside Ironworks,505,,4 star rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,no
7,Blu Seafood House,32. Blu Seafood House,69,,2 star rating,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,no
8,Bottega Luisa,146. Bottega Luisa,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,no
9,Brittain Dining Hall,167. Brittain Dining Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,no
10,Brown Bag Seafood,64. Brown Bag Seafood,36,,4.5 star rating,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,no
11,Burger King,145. Burger King,55,,2 star rating,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,no
12,Cafe Adison,159. Cafe Adison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
13,Cafe West Express,111. Cafe West Express,6,,4.5 star rating,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.5,no
14,Caffe Antico,92. Caffe Antico,78,,3.5 star rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.5,no
15,Caffeine Atlanta,100. Caffeine Atlanta,20,,4 star rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4,no
16,Caffé Gio,128. Caffé Gio,89,,2.5 star rating,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,no
17,Canopy Court,156. Canopy Court,1,,2 star rating,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,no
18,Capital Commons,97. Capital Commons,5,,5 star rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,no
