,name,reviewer,price,restauran_type,star
0,Moe’s Southwest Grill,,,,
1,QDOBA Mexican Eats,5,,,3 star rating
2,1. There on Fifth,39,,,5 star rating
3,2. Rock Steady - Atlanta,197,$$,,4 star rating
4,3. The Optimist,1764,,,4.5 star rating
5,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
6,5. Forza Storico,222,,,4 star rating
7,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
8,7. Pijiu Belly,442,,,4 star rating
9,8. Velvet Taco,52,,,4.5 star rating
10,9. JCT Kitchen & Bar,1795,,,4 star rating
11,10. Le Fat,402,$$,,4 star rating
12,Firehouse Subs,63,,,3.5 star rating
13,Moe’s Southwest Grill,,,,
14,QDOBA Mexican Eats,5,,,3 star rating
15,1. There on Fifth,39,,,5 star rating
16,2. Rock Steady - Atlanta,197,$$,,4 star rating
17,3. The Optimist,1764,,,4.5 star rating
18,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
19,5. Forza Storico,222,,,4 star rating
20,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
21,7. Pijiu Belly,442,,,4 star rating
22,8. Velvet Taco,52,,,4.5 star rating
23,9. JCT Kitchen & Bar,1795,,,4 star rating
24,10. Le Fat,402,$$,,4 star rating
25,Firehouse Subs,63,,,3.5 star rating
26,Moe’s Southwest Grill,,,,
27,QDOBA Mexican Eats,5,,,3 star rating
28,1. There on Fifth,39,,,5 star rating
29,2. Rock Steady - Atlanta,197,$$,,4 star rating
30,3. The Optimist,1764,,,4.5 star rating
31,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
32,5. Forza Storico,222,,,4 star rating
33,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
34,7. Pijiu Belly,442,,,4 star rating
35,8. Velvet Taco,52,,,4.5 star rating
36,9. JCT Kitchen & Bar,1795,,,4 star rating
37,10. Le Fat,402,$$,,4 star rating
38,Firehouse Subs,63,,,3.5 star rating
39,Moe’s Southwest Grill,,,,
40,QDOBA Mexican Eats,5,,,3 star rating
41,1. There on Fifth,39,,,5 star rating
42,2. Rock Steady - Atlanta,197,$$,,4 star rating
43,3. The Optimist,1764,,,4.5 star rating
44,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
45,5. Forza Storico,222,,,4 star rating
46,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
47,7. Pijiu Belly,442,,,4 star rating
